pipeline,variant,bin_idx,used_mean,used_sem,samples
CABFD+PrimalDual,off0_on100,5,0.0,0.0,50
CABFD+PrimalDual,off0_on100,6,0.0,0.0,50
CABFD+PrimalDual,off0_on100,7,0.0,0.0,50
CABFD+PrimalDual,off0_on100,8,0.0,0.0,50
CABFD+PrimalDual,off0_on100,9,0.0,0.0,50
CABFD+PrimalDual,off0_on100,10,0.0,0.0,50
CABFD+PrimalDual,off20_on80,0,18.924873607196233,1.032960401437436,50
CABFD+PrimalDual,off20_on80,1,18.686860153763686,1.0075521741902844,50
CABFD+PrimalDual,off20_on80,2,16.859261530585655,1.044146280860637,50
CABFD+PrimalDual,off20_on80,3,18.275965746611345,0.9860854672597398,50
CABFD+PrimalDual,off20_on80,4,18.286781090996996,0.9228401986492244,50
CABFD+PrimalDual,off20_on80,5,17.68234888890359,1.1930792085699404,50
CABFD+PrimalDual,off20_on80,6,16.267237633263406,0.9669800210165452,50
CABFD+PrimalDual,off20_on80,7,20.40123516800802,0.8873004030583248,50
CABFD+PrimalDual,off20_on80,8,16.18149866127515,1.1363302291305286,50
CABFD+PrimalDual,off20_on80,9,18.08327923644975,1.1062512373881652,50
CABFD+PrimalDual,off20_on80,10,0.0,0.0,50
CABFD+PrimalDual,off40_on60,0,36.95496963039391,1.4631840979716708,50
CABFD+PrimalDual,off40_on60,1,34.1828321767315,1.423301010820256,50
CABFD+PrimalDual,off40_on60,2,34.422456899986976,1.2916037466094998,50
CABFD+PrimalDual,off40_on60,3,34.568478974624625,1.305870688043984,50
CABFD+PrimalDual,off40_on60,4,36.98392779133305,1.5879722198216184,50
CABFD+PrimalDual,off40_on60,5,35.42437456789382,1.1897586257170465,50
CABFD+PrimalDual,off40_on60,6,37.76590730406701,1.419021300623601,50
CABFD+PrimalDual,off40_on60,7,36.05495555793528,1.572318827503479,50
CABFD+PrimalDual,off40_on60,8,36.69789172747014,1.1863128836756003,50
CABFD+PrimalDual,off40_on60,9,36.64097434306448,1.3269715554518522,50
CABFD+PrimalDual,off40_on60,10,0.0,0.0,50
CABFD+PrimalDual,off50_on50,0,43.33131282418605,1.7750084075635997,50
CABFD+PrimalDual,off50_on50,1,42.60650439668826,1.5059140480008588,50
CABFD+PrimalDual,off50_on50,2,47.64328236654342,1.8420732995684874,50
CABFD+PrimalDual,off50_on50,3,47.3505138447464,1.471151830978421,50
CABFD+PrimalDual,off50_on50,4,46.74983768286333,1.491640108780952,50
CABFD+PrimalDual,off50_on50,5,42.03814263935109,1.298402353802626,50
CABFD+PrimalDual,off50_on50,6,46.16344987217286,1.6058220457804864,50
CABFD+PrimalDual,off50_on50,7,44.655407446180924,1.3092619212815744,50
CABFD+PrimalDual,off50_on50,8,48.04683548989683,1.9769674878804513,50
CABFD+PrimalDual,off50_on50,9,41.70711736230367,1.8121453646152557,50
CABFD+PrimalDual,off50_on50,10,0.0,0.0,50
CABFD+PrimalDual,off60_on40,0,55.092144841804995,1.3648512068699017,50
CABFD+PrimalDual,off60_on40,1,51.973485854728224,1.6235724830134197,50
CABFD+PrimalDual,off60_on40,2,54.16600373674867,1.5156718304624979,50
CABFD+PrimalDual,off60_on40,3,52.651353433592256,1.6976845337876953,50
CABFD+PrimalDual,off60_on40,4,55.078486496525905,1.9081062886046762,50
CABFD+PrimalDual,off60_on40,5,56.12125568534901,1.5798557994601845,50
